id,name,type,address,city,postcode,lat,lon,website,phone,opening_hours,price_tier,avg_rating,suggested_duration,tags,image_url,description_short
1,"British Museum",Museum,"Great Russell St",London,"WC1B 3DG",51.51940000,-0.12700000,https://www.britishmuseum.org,"+44 20 7323 8299",10:00-17:00,1,4.8,180,"History;Rainy Day;Family",https://plus.unsplash.com/premium_photo-1661925387774-b1ba6b7bb0ad?q=80&w=1161&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"World-famous museum of human history and culture."
2,"Tower of London",Castle,"St Katharine's & Wapping",London,"EC3N 4AB",51.50810000,-0.07590000,https://www.hrp.org.uk/tower-of-london,"+44 20 3166 6000",09:00-17:30,4,4.7,180,"History;Crown Jewels;Iconic",https://images.unsplash.com/photo-1590506903984-49154c7ce1a0?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Historic castle and home of the Crown Jewels."
3,"V&A Museum",Museum,"Cromwell Rd",London,"SW7 2RL",51.49660000,-0.17220000,https://www.vam.ac.uk,"+44 20 7942 2000",10:00-17:45,1,4.8,150,Art;Design;Fashion,https://plus.unsplash.com/premium_photo-1658506813192-074af2c51d66?q=80&w=1147&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Leading museum of art, design, and performance."
4,"Natural History Museum",Museum,"Cromwell Rd",London,"SW7 5BD",51.49670000,-0.17640000,https://www.nhm.ac.uk,"+44 20 7942 5000",10:00-17:50,1,4.7,180,Dinosaurs;Science;Kids,https://images.unsplash.com/photo-1661108181859-c7932252796b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Home to life and earth science specimens."
5,"Tate Modern",Gallery,Bankside,London,"SE1 9TG",51.50760000,-0.09940000,https://www.tate.org.uk/visit/tate-modern,"+44 20 7887 8888",10:00-18:00,1,4.5,90,Art;Modern;Views,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Tate_Modern_-_Bankside_Power_Station.jpg/960px-Tate_Modern_-_Bankside_Power_Station.jpg,"International modern and contemporary art."
6,"London Eye",Attraction,"Riverside Building",London,"SE1 7PB",51.50330000,-0.11950000,https://www.londoneye.com,"+44 870 990 8883",11:00-18:00,4,4.5,45,Views;Iconic;Romantic,https://images.unsplash.com/photo-1545853332-147d5073187e?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Giant observation wheel on the South Bank."
7,"Sky Garden",Attraction,"1 Sky Garden Walk",London,"EC3M 8AF",51.51120000,-0.08350000,https://skygarden.london,"+44 20 7337 2344",10:00-18:00,1,4.6,60,Views;Instagrammable;Bar,https://upload.wikimedia.org/wikipedia/commons/c/ca/The_Sky_Garden.jpg,"London's highest public garden with 360 views."
8,"Borough Market",Food,"8 Southwark St",London,"SE1 1TL",51.50550000,-0.09030000,https://boroughmarket.org.uk,"+44 20 7407 1002",10:00-17:00,2,4.7,60,Foodie;Lunch;Bustling,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/London_2018_March_IMG_0663.jpg/500px-London_2018_March_IMG_0663.jpg,"Historic market hall with gourmet food stalls."
9,"Roman Baths",History,"Abbey Church Yard",Bath,"BA1 1LZ",51.38090000,-2.35970000,https://www.romanbaths.co.uk,"+44 1225 477785",09:00-18:00,3,4.6,90,History;Romans;Unique,https://images.unsplash.com/photo-1691419712300-3f29595dda17?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Well-preserved Roman public bathing site."
10,Stonehenge,History,Salisbury,Wiltshire,"SP4 7DE",51.17890000,-1.82620000,https://www.english-heritage.org.uk,"+44 370 333 1181",09:30-17:00,3,4.2,90,History;Ancient;Outdoors,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Stonehenge2007_07_30.jpg/800px-Stonehenge2007_07_30.jpg,"Prehistoric ring of standing stones."
11,"Edinburgh Castle",Castle,Castlehill,Edinburgh,"EH1 2NG",55.94860000,-3.19990000,https://www.edinburghcastle.scot,"+44 131 225 9846",09:30-18:00,3,4.6,120,History;Views;Scotland,https://images.unsplash.com/photo-1557096002-7f215e6b5dcf?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Historic fortress dominating the Edinburgh skyline."
12,"National Museum of Scotland",Museum,"Chambers St",Edinburgh,"EH1 1JF",55.94690000,-3.19040000,https://www.nms.ac.uk,"+44 300 123 6789",10:00-17:00,1,4.8,120,"History;Family;Rainy Day",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Museum_of_Scotland.jpg/500px-Museum_of_Scotland.jpg,"Collections of Scottish antiquities and culture."
13,"Arthur's Seat",Nature,"Holyrood Park",Edinburgh,"EH8 8AZ",55.94420000,-3.16180000,https://www.historicenvironment.scot,,24-Jul,1,4.7,120,Hiking;Views;Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Arthur%27s_Seat_from_Salisbury_Crags.jpg/800px-Arthur%27s_Seat_from_Salisbury_Crags.jpg,"Ancient volcano sitting 251m above sea level."
14,"Kelvingrove Art Gallery",Gallery,"Argyle St",Glasgow,"G3 8AG",55.86860000,-4.29060000,https://www.glasgowlife.org.uk,"+44 141 276 9599",10:00-17:00,1,4.7,90,Art;History;Free,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Kelvingrove_Art_Gallery_and_Museum.jpg/800px-Kelvingrove_Art_Gallery_and_Museum.jpg,"Grand museum featuring 22 themed galleries."
